song_id,item_id,name,full_name,genre,artist_name,original_bga_yn,loop_bga_yn,composed_by,singer,feat_by,arranged_by,visualized_by,cost_game_point,cost_game_cash,flag,status,free_yn,hidden_yn,open_yn,track_id,mod_date,update
139,139,grave,Grave Consequence,DNB Trance,Tsukasa,Y,N,Tsukasa,,,Tsukasa,"Khang-Keun, Latte",0,0,0,,Y,N,Y,288,2.02E+13,0
140,140,beatudown,Beat U Down,Euro Beat,makou,Y,N,makou,,,makou,"KIMYS, Z_B",0,0,0,,Y,N,Y,292,2.02E+13,0
141,141,beeutiful,BEE-U-TIFUL,Drum'n Bass,FIRST AID,Y,N,FIRST AID,,,FIRST AID,D,0,0,0,,Y,N,Y,210,2.02E+13,0
142,142,sweetdream,Sweet Dream,House Dance,Lin-G,Y,N,Lin-G,Jay,,Lin-G & Mr. love&pop,"BF, Jin",0,0,0,,Y,N,Y,185,2.02E+13,0
143,143,showdown,Showdown,Brass Funk,LeeZu,Y,N,LeeZu,,,LeeZu,"Gaeberman, DumpingLIFE",0,0,0,,Y,N,Y,247,2.02E+13,0
144,144,ad2222,AD2222,Junkno,CROOVE,Y,N,CROOVE,,,CROOVE,KIMYS,0,0,0,,Y,N,Y,326,2.02E+13,0
145,145,rainbow,Over the Rainbow,Ani Pop,Tsukasa,Y,N,Tsukasa,Aki Misawa,,Tsukasa,"Mino, Jin",0,0,0,,Y,N,Y,261,2.02E+13,0
146,146,flyaway,Fly Away,Trance,XeoN,Y,N,XeoN,,,XeoN,SB_ENGINEER,0,0,0,,Y,N,Y,344,2.02E+13,0
147,147,wannabe,Wanna Be Your Lover,Euro Dance,Laurent Newfield & Ravenant,Y,N,Ravenant,Alex Ray,,Laurent Newfield & Ravenant,"Zaquard, Shin105",0,0,0,,Y,N,Y,323,2.02E+13,0
148,148,supernova,SuperNova,Rave,Cranky,Y,N,Cranky,,,Cranky,"Ottol, ENTIA J",0,0,0,,Y,N,Y,327,2.02E+13,0
149,149,rainmaker,The Rain Maker,Epic Trance,Paul Bazooka,Y,N,Paul Bazooka,,,Paul Bazooka,moses,0,0,0,,Y,N,Y,302,2.02E+13,0
150,150,if,IF,Rock,Vanilla Unity,Y,N,Vanilla Unity,이승주,,Vanilla Unity,"Jisun, moses",0,0,0,,Y,N,Y,305,2.02E+13,0
151,151,melody,Melody,Cute POP,bermei.inazawa/UC,Y,N,bermei.inazawa/UC,Esprit Lee,,bermei.inazawa/UC,"BF, Jin",0,0,0,,Y,N,Y,13,2.02E+13,0
152,152,thelastdance,The Last Dance,India Hip-Hop,Urbatronic Chopsticks,Y,N,Urbatronic Chopsticks,Esprit Lee,JJK (on Rap),Urbatronic Chopsticks,"SARA, HooN",0,0,0,,Y,N,Y,388,2.02E+13,0
153,153,secretworld,Secret World,Teenpop,Sweetune,Y,N,Sweetune,Miya,,Sweetune,"Mirk, Jin",0,0,0,,Y,N,Y,270,2.02E+13,0
154,154,lovely,Lovely Hands,Space Pop,Planetboom,Y,N,Planetboom,Miya,,Planetboom,"SARA, Jin",0,0,0,,Y,N,Y,394,2.02E+13,0
155,155,readynow,Ready Now,Euro Dance,Ruby Tuesday,Y,N,Ruby Tuesday,LEAH,,Ruby Tuesday,"Kopye,79c",0,0,0,,Y,N,Y,428,2.02E+13,0
156,156,voyage,Voyage,Broken Beat,makou,Y,N,makou,Lin,,makou,"SAGWANAMU, CARROTJUICE",0,0,0,,Y,N,Y,433,2.02E+13,0
